time,survival,n_censored
0.3316737667679135,0.9866666666666666,1
0.4592918744398986,0.9799774011299434,1
1.0218338844997774,0.9329921832675486,1
1.429387879641948,0.9026783578184223,1
1.5150368527314662,0.8959167221793327,1
1.6390875598231434,0.8891294742840347,1
1.7764459453141908,0.8823162216075281,1
3.3195956822133392,0.8104997849650551,1
5.335701049376329,0.6902985456693899,1
6.307214376434565,0.6350746620158391,1
6.453983048769269,0.6316043086714899,1
6.458802209690082,0.6316043086714899,1
6.5515125780214145,0.6280953958455371,1
6.648287169578548,0.621038144206823,1
7.245559550182408,0.5997454078340174,1
7.912407233610942,0.5533365369897186,1
8.265858407879126,0.5353710650095328,1
8.771511443928352,0.5028147164616559,1
8.838544290948718,0.4991711315597597,1
10.185420682093348,0.44778586801684317,1
11.861767056647562,0.41077877148652536,1
24.0,0.17178021353072873,46
