time,survival_target,survival_reconstructed,n_risk,n_events,n_censored,interval_error
0.0,1.0,1.0,300,0,0,
0.0427454710899457,0.9966666666666671,0.9966666666666667,300,1,0,4.440892098500626e-16
0.1003264298962142,0.9933333333333336,0.9933333333333334,299,1,0,2.220446049250313e-16
0.1547744781018482,0.9900000000000004,0.99,298,1,0,4.440892098500626e-16
0.2209877527016528,0.9866666666666666,0.9866666666666667,297,1,0,1.1102230246251565e-16
0.3316737667679135,0.9866666666666666,0.9866666666666667,296,0,1,1.1102230246251565e-16
0.3692185609582453,0.9833220338983044,0.9833220338983052,295,1,0,7.771561172376096e-16
0.4337455726090397,0.9799774011299434,0.9799774011299436,294,1,0,2.220446049250313e-16
0.4592918744398986,0.9799774011299434,0.9799774011299436,293,0,1,2.220446049250313e-16
0.469631982036737,0.9766213141397726,0.9766213141397725,292,1,0,1.1102230246251565e-16
0.5331229516584683,0.9732652271496012,0.9732652271496015,291,1,0,3.3306690738754696e-16
0.5553200083304922,0.9699091401594304,0.9699091401594304,290,1,0,0.0
0.6059912537800228,0.9665530531692592,0.9665530531692593,289,1,0,1.1102230246251565e-16
0.6093949285533701,0.9631969661790885,0.9631969661790883,288,1,0,1.1102230246251565e-16
0.6225318046651099,0.9598408791889168,0.9598408791889174,287,1,0,5.551115123125783e-16
0.7295558318177193,0.9564847921987464,0.9564847921987463,286,1,0,1.1102230246251565e-16
0.7493523262974797,0.9531287052085752,0.9531287052085752,285,1,0,0.0
0.7616710621390287,0.949772618218404,0.9497726182184042,284,1,0,2.220446049250313e-16
0.7823880354879221,0.9464165312282332,0.9464165312282331,283,1,0,1.1102230246251565e-16
0.7858738893021157,0.9430604442380616,0.9430604442380621,282,1,0,5.551115123125783e-16
0.800348866574085,0.9397043572478906,0.9397043572478911,281,1,0,5.551115123125783e-16
0.8937494704580935,0.9363482702577196,0.9363482702577202,280,1,0,5.551115123125783e-16
0.9581889591808296,0.9329921832675486,0.9329921832675491,279,1,0,4.440892098500626e-16
1.0218338844997774,0.9329921832675486,0.9329921832675491,278,0,1,4.440892098500626e-16
1.041852493194774,0.9296239804398676,0.9296239804398684,277,1,0,7.771561172376096e-16
1.06248387019791,0.9262557776121876,0.9262557776121877,276,1,0,1.1102230246251565e-16
1.1093708561292503,0.9228875747845068,0.922887574784507,275,1,0,2.220446049250313e-16
1.1946323425696246,0.919519371956826,0.9195193719568263,274,1,0,3.3306690738754696e-16
